run_name,run_dir,status,return_code,skipped,wall_seconds,block,case_id,seed,label_method,model_group,contingency_tensor,metapath_v1_enabled,metapath_attention_mode,metapath_topk,hidden_dim,epochs,lr,weight_decay,train_ratio,risk_weight_alpha,risk_weight_beta,risk_weight_threshold,metapath_gate_reg_lambda,metapath_attention_entropy_reg_lambda,metapath_warmup_epochs,val_mae,val_rmse,val_high_risk_mae,best_val_mse,metapath_gate_mean,epochs_effective,metapath_attention_mode_reported
0001_A_label-c3po_ref_group-A0_baseline_seed-42,C:\Users\yuhan\Desktop\gridagent1\results\early_warning\stage6_planA_full_20260415_20260415_002847\0001_A_label-c3po_ref_group-A0_baseline_seed-42,ok,0,True,0.0,A,A_label-c3po_ref_group-A0_baseline_seed-42,42,c3po_ref,A0_baseline,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_c3po_ref.npy,False,fixed,4,80,700,0.0042,5e-05,0.7,0.0,0.0,0.1,0.0,0.0,0,0.10714750484083638,0.14918819948110426,0.3015513259630937,0.022257115691900253,,67.0,disabled
0002_A_label-c3po_ref_group-A1_metapath_fixed_seed-42,C:\Users\yuhan\Desktop\gridagent1\results\early_warning\stage6_planA_full_20260415_20260415_002847\0002_A_label-c3po_ref_group-A1_metapath_fixed_seed-42,ok,0,True,0.0,A,A_label-c3po_ref_group-A1_metapath_fixed_seed-42,42,c3po_ref,A1_metapath_fixed,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_c3po_ref.npy,True,fixed,4,80,700,0.0042,5e-05,0.7,0.0,0.0,0.1,0.0,0.0,0,0.02109895022585988,0.024975992742442717,0.06217723110547432,0.0006238002679310739,0.9999230595098602,255.0,fixed
0003_A_label-c3po_ref_group-A2_metapath_adaptive_global_seed-42,C:\Users\yuhan\Desktop\gridagent1\results\early_warning\stage6_planA_full_20260415_20260415_002847\0003_A_label-c3po_ref_group-A2_metapath_adaptive_global_seed-42,ok,0,True,0.0,A,A_label-c3po_ref_group-A2_metapath_adaptive_global_seed-42,42,c3po_ref,A2_metapath_adaptive_global,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_c3po_ref.npy,True,adaptive_global,4,80,700,0.0042,5e-05,0.7,0.0,0.0,0.1,0.0,0.0,0,0.020940600389219594,0.024429674917637263,0.05941229542860618,0.0005968090845271945,0.9999055746528838,261.0,adaptive_global
0004_A_label-c3po_ref_group-A3_metapath_adaptive_context_seed-42,C:\Users\yuhan\Desktop\gridagent1\results\early_warning\stage6_planA_full_20260415_20260415_002847\0004_A_label-c3po_ref_group-A3_metapath_adaptive_context_seed-42,ok,0,True,0.0,A,A_label-c3po_ref_group-A3_metapath_adaptive_context_seed-42,42,c3po_ref,A3_metapath_adaptive_context,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_c3po_ref.npy,True,adaptive_context,4,80,700,0.0042,5e-05,0.7,0.0,0.0,0.1,0.0,0.0,0,0.022477509352999428,0.03427644193211273,0.10864350142387244,0.0011748743709176779,0.999925933778286,135.0,adaptive_context
0005_A_label-wang_qmc_group-A0_baseline_seed-42,C:\Users\yuhan\Desktop\gridagent1\results\early_warning\stage6_planA_full_20260415_20260415_002847\0005_A_label-wang_qmc_group-A0_baseline_seed-42,ok,0,True,0.0,A,A_label-wang_qmc_group-A0_baseline_seed-42,42,wang_qmc,A0_baseline,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_wang_qmc.npy,False,fixed,4,80,700,0.0042,5e-05,0.7,0.0,0.0,0.1,0.0,0.0,0,0.36180574171470875,0.4519480799914297,0.19595906063914298,0.2042570561170578,,61.0,disabled
0006_A_label-wang_qmc_group-A1_metapath_fixed_seed-42,C:\Users\yuhan\Desktop\gridagent1\results\early_warning\stage6_planA_full_20260415_20260415_002847\0006_A_label-wang_qmc_group-A1_metapath_fixed_seed-42,ok,0,True,0.0,A,A_label-wang_qmc_group-A1_metapath_fixed_seed-42,42,wang_qmc,A1_metapath_fixed,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_wang_qmc.npy,True,fixed,4,80,700,0.0042,5e-05,0.7,0.0,0.0,0.1,0.0,0.0,0,0.3512847577080582,0.4565413609803688,0.17274667595823606,0.20843000710010529,0.06437591473675436,61.0,fixed
0007_A_label-wang_qmc_group-A2_metapath_adaptive_global_seed-42,C:\Users\yuhan\Desktop\gridagent1\results\early_warning\stage6_planA_full_20260415_20260415_002847\0007_A_label-wang_qmc_group-A2_metapath_adaptive_global_seed-42,ok,0,True,0.0,A,A_label-wang_qmc_group-A2_metapath_adaptive_global_seed-42,42,wang_qmc,A2_metapath_adaptive_global,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_wang_qmc.npy,True,adaptive_global,4,80,700,0.0042,5e-05,0.7,0.0,0.0,0.1,0.0,0.0,0,0.35128477215766907,0.45654135872031804,0.1727467032770316,0.20843000710010529,0.06437593538107143,61.0,adaptive_global
0008_A_label-wang_qmc_group-A3_metapath_adaptive_context_seed-42,C:\Users\yuhan\Desktop\gridagent1\results\early_warning\stage6_planA_full_20260415_20260415_002847\0008_A_label-wang_qmc_group-A3_metapath_adaptive_context_seed-42,ok,0,True,0.0,A,A_label-wang_qmc_group-A3_metapath_adaptive_context_seed-42,42,wang_qmc,A3_metapath_adaptive_context,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_wang_qmc.npy,True,adaptive_context,4,80,700,0.0042,5e-05,0.7,0.0,0.0,0.1,0.0,0.0,0,0.3597056213653449,0.4538039897582934,0.19028700391451517,0.20593805611133575,0.06863593423946036,61.0,adaptive_context
0009_A_label-c3po_ref_group-A0_baseline_seed-43,C:\Users\yuhan\Desktop\gridagent1\results\early_warning\stage6_planA_full_20260415_20260415_002847\0009_A_label-c3po_ref_group-A0_baseline_seed-43,ok,0,True,0.0,A,A_label-c3po_ref_group-A0_baseline_seed-43,43,c3po_ref,A0_baseline,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_c3po_ref.npy,False,fixed,4,80,700,0.0042,5e-05,0.7,0.0,0.0,0.1,0.0,0.0,0,0.09646033950601564,0.13633849468076137,0.3045963690831111,0.01858818717300892,,69.0,disabled
0010_A_label-c3po_ref_group-A1_metapath_fixed_seed-43,C:\Users\yuhan\Desktop\gridagent1\results\early_warning\stage6_planA_full_20260415_20260415_002847\0010_A_label-c3po_ref_group-A1_metapath_fixed_seed-43,ok,0,True,0.0,A,A_label-c3po_ref_group-A1_metapath_fixed_seed-43,43,c3po_ref,A1_metapath_fixed,C:\Users\yuhan\Desktop\gridagent1\results\spatiotemporal_contingency\formal2024_schloemer72h\contingency_tensor_c3po_ref.npy,True,fixed,4,80,700,0.0042,5e-05,0.7,0.0,0.0,0.1,0.0,0.0,0,0.013530879091316212,0.023739224260703237,0.07228254068356293,0.0005635507986880839,0.9999996506505542,112.0,fixed
